invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,day_name,month_name,year
1,WALM003,San Antonio,Health and beauty,$74.69,7,05-01-2019,13:08:00,Ewallet,9.1,0.48,Saturday,January,2019
2,WALM048,Harlingen,Electronic accessories,$15.28,5,08-03-2019,10:29:00,Cash,9.6,0.48,Friday,March,2019
3,WALM067,Haltom City,Home and lifestyle,$46.33,7,03-03-2019,13:23:00,Credit card,7.4,0.33,Sunday,March,2019
4,WALM064,Bedford,Health and beauty,$58.22,8,27-01-2019,20:33:00,Ewallet,8.4,0.33,Sunday,January,2019
5,WALM013,Irving,Sports and travel,$86.31,7,08-02-2019,10:37:00,Ewallet,5.3,0.48,Friday,February,2019
6,WALM026,Denton,Electronic accessories,$85.39,7,25-03-2019,18:30:00,Ewallet,4.1,0.48,Monday,March,2019
7,WALM088,Cleburne,Electronic accessories,$68.84,6,25-02-2019,14:36:00,Ewallet,5.8,0.33,Monday,February,2019
8,WALM100,Canyon,Home and lifestyle,$73.56,10,24-02-2019,11:38:00,Ewallet,8,0.18,Sunday,February,2019
9,WALM066,Grapevine,Health and beauty,$36.26,2,10-01-2019,17:15:00,Credit card,7.2,0.33,Thursday,January,2019
10,WALM065,Texas City,Food and beverages,$54.84,3,20-02-2019,13:27:00,Credit card,5.9,0.33,Wednesday,February,2019
11,WALM013,Irving,Fashion accessories,$14.48,4,06-02-2019,18:07:00,Ewallet,4.5,0.48,Wednesday,February,2019
12,WALM035,San Angelo,Electronic accessories,$25.51,4,09-03-2019,17:03:00,Cash,6.8,0.48,Saturday,March,2019
13,WALM027,Abilene,Electronic accessories,$46.95,5,12-02-2019,10:25:00,Ewallet,7.1,0.48,Tuesday,February,2019
14,WALM035,San Angelo,Food and beverages,$43.19,10,07-02-2019,16:48:00,Ewallet,8.2,0.48,Thursday,February,2019
15,WALM031,Lewisville,Health and beauty,$71.38,10,29-03-2019,19:21:00,Cash,5.7,0.48,Friday,March,2019
16,WALM008,Corpus Christi,Sports and travel,$93.72,6,15-01-2019,16:19:00,Cash,4.5,0.48,Tuesday,January,2019
17,WALM029,Round Rock,Health and beauty,$68.93,7,11-03-2019,11:03:00,Credit card,4.6,0.48,Monday,March,2019
18,WALM061,Cedar Park,Sports and travel,$72.61,6,01-01-2019,10:39:00,Credit card,6.9,0.33,Tuesday,January,2019
19,WALM053,Conroe,Food and beverages,$54.67,3,21-01-2019,18:00:00,Credit card,8.6,0.57,Monday,January,2019
20,WALM013,Irving,Home and lifestyle,$40.3,2,11-03-2019,15:30:00,Ewallet,4.4,0.48,Monday,March,2019
21,WALM044,Pharr,Electronic accessories,$86.04,5,25-02-2019,11:24:00,Ewallet,4.8,0.48,Monday,February,2019
22,WALM088,Cleburne,Health and beauty,$87.98,3,05-03-2019,10:40:00,Ewallet,5.1,0.33,Tuesday,March,2019
23,WALM083,Farmers Branch,Home and lifestyle,$33.2,2,15-03-2019,12:20:00,Credit card,4.4,0.33,Friday,March,2019
24,WALM067,Haltom City,Electronic accessories,$34.56,5,17-02-2019,11:15:00,Ewallet,9.9,0.33,Sunday,February,2019
25,WALM023,Midland,Sports and travel,$88.63,3,02-03-2019,17:36:00,Ewallet,6,0.48,Saturday,March,2019
26,WALM001,Houston,Home and lifestyle,$52.59,8,22-03-2019,19:20:00,Credit card,8.5,0.36,Friday,March,2019
27,WALM072,Lancaster,Fashion accessories,$33.52,1,08-02-2019,15:31:00,Cash,6.7,0.33,Friday,February,2019
28,WALM046,Temple,Fashion accessories,$87.67,2,10-03-2019,12:17:00,Credit card,7.7,0.48,Sunday,March,2019
29,WALM012,Garland,Food and beverages,$88.36,5,25-01-2019,19:48:00,Cash,9.6,0.48,Friday,January,2019
30,WALM075,San Marcos,Health and beauty,$24.89,9,15-03-2019,15:36:00,Cash,7.4,0.33,Friday,March,2019
31,WALM076,Huntsville,Fashion accessories,$94.13,5,25-02-2019,19:39:00,Credit card,4.8,0.33,Monday,February,2019
32,WALM098,Mineral Wells,Sports and travel,$78.07,9,28-01-2019,12:43:00,Cash,4.5,0.18,Monday,January,2019
33,WALM021,McAllen,Sports and travel,$83.78,8,10-01-2019,14:49:00,Cash,5.1,0.48,Thursday,January,2019
34,WALM096,Eagle Pass,Health and beauty,$96.58,2,15-03-2019,10:12:00,Credit card,5.1,0.18,Friday,March,2019
35,WALM022,Mesquite,Food and beverages,$99.42,4,06-02-2019,10:42:00,Ewallet,7.5,0.48,Wednesday,February,2019
36,WALM095,Big Spring,Sports and travel,$68.12,1,07-01-2019,12:28:00,Ewallet,6.8,0.33,Monday,January,2019
37,WALM041,Mission,Sports and travel,$62.62,5,10-03-2019,19:15:00,Ewallet,7,0.48,Sunday,March,2019
38,WALM070,Hurst,Electronic accessories,$60.88,9,15-01-2019,17:17:00,Ewallet,4.7,0.33,Tuesday,January,2019
39,WALM070,Hurst,Health and beauty,$54.92,8,23-03-2019,13:24:00,Ewallet,7.6,0.33,Saturday,March,2019
40,WALM030,Richardson,Home and lifestyle,$30.12,8,03-03-2019,13:01:00,Cash,7.7,0.48,Sunday,March,2019
41,WALM033,Pearland,Home and lifestyle,$86.72,1,17-01-2019,18:45:00,Ewallet,7.9,0.48,Thursday,January,2019
42,WALM088,Cleburne,Home and lifestyle,$56.11,2,02-02-2019,10:11:00,Cash,6.3,0.33,Saturday,February,2019
43,WALM079,La Porte,Sports and travel,$69.12,6,08-02-2019,13:03:00,Cash,5.6,0.33,Friday,February,2019
44,WALM042,Bryan,Food and beverages,$98.7,8,04-03-2019,20:39:00,Cash,7.6,0.48,Monday,March,2019
45,WALM036,Allen,Health and beauty,$15.37,2,16-03-2019,19:47:00,Cash,7.2,0.48,Saturday,March,2019
46,WALM056,Rowlett,Electronic accessories,$93.96,4,09-03-2019,18:00:00,Cash,9.5,0.33,Saturday,March,2019
47,WALM058,Port Arthur,Health and beauty,$56.69,9,27-02-2019,17:24:00,Credit card,8.4,0.33,Wednesday,February,2019
48,WALM015,Grand Prairie,Food and beverages,$20.01,9,06-02-2019,15:47:00,Ewallet,4.1,0.48,Wednesday,February,2019
49,WALM063,Georgetown,Electronic accessories,$18.93,6,10-02-2019,12:45:00,Credit card,8.1,0.33,Sunday,February,2019
50,WALM021,McAllen,Fashion accessories,$82.63,10,19-03-2019,17:08:00,Ewallet,7.9,0.48,Tuesday,March,2019
51,WALM089,Southlake,Food and beverages,$91.4,7,03-02-2019,10:19:00,Cash,9.5,0.33,Sunday,February,2019
52,WALM093,Angleton,Food and beverages,$44.59,5,10-02-2019,15:10:00,Cash,8.5,0.33,Sunday,February,2019
53,WALM041,Mission,Fashion accessories,$17.87,4,22-03-2019,14:42:00,Ewallet,6.5,0.48,Friday,March,2019
54,WALM045,Missouri City,Fashion accessories,$15.43,1,25-01-2019,15:46:00,Credit card,6.1,0.48,Friday,January,2019
55,WALM005,Fort Worth,Home and lifestyle,$16.16,2,07-03-2019,11:49:00,Ewallet,6.5,0.48,Thursday,March,2019
56,WALM042,Bryan,Electronic accessories,$85.98,8,28-02-2019,19:01:00,Cash,8.2,0.48,Thursday,February,2019
57,WALM003,San Antonio,Home and lifestyle,$44.34,2,27-03-2019,11:26:00,Cash,5.8,0.36,Wednesday,March,2019
58,WALM070,Hurst,Health and beauty,$89.6,8,07-02-2019,11:28:00,Ewallet,6.6,0.33,Thursday,February,2019
59,WALM066,Grapevine,Home and lifestyle,$72.35,10,20-01-2019,15:55:00,Cash,5.4,0.33,Sunday,January,2019
60,WALM031,Lewisville,Electronic accessories,$30.61,6,12-03-2019,20:36:00,Cash,9.3,0.48,Tuesday,March,2019
61,WALM042,Bryan,Sports and travel,$24.74,3,15-02-2019,17:47:00,Credit card,10,0.48,Friday,February,2019
62,WALM078,Del Rio,Home and lifestyle,$55.73,6,24-02-2019,10:55:00,Ewallet,7,0.33,Sunday,February,2019
63,WALM037,League City,Sports and travel,$55.07,9,03-02-2019,13:40:00,Ewallet,10,0.48,Sunday,February,2019
64,WALM069,Rockwall,Sports and travel,$15.81,10,06-03-2019,12:27:00,Credit card,8.6,0.33,Wednesday,March,2019
65,WALM087,Waxahachie,Health and beauty,$75.74,4,14-02-2019,14:35:00,Cash,7.6,0.33,Thursday,February,2019
66,WALM042,Bryan,Health and beauty,$15.87,10,13-03-2019,16:40:00,Cash,5.8,0.48,Wednesday,March,2019
67,WALM020,Killeen,Health and beauty,$33.47,2,10-02-2019,15:43:00,Ewallet,6.7,0.48,Sunday,February,2019
68,WALM029,Round Rock,Fashion accessories,$97.61,6,07-01-2019,15:01:00,Ewallet,9.9,0.48,Monday,January,2019
69,WALM079,La Porte,Sports and travel,$78.77,10,24-01-2019,10:04:00,Cash,6.4,0.33,Thursday,January,2019
70,WALM035,San Angelo,Health and beauty,$18.33,1,02-02-2019,18:50:00,Cash,4.3,0.48,Saturday,February,2019
71,WALM007,Arlington,Food and beverages,$89.48,10,06-01-2019,12:46:00,Credit card,9.6,0.48,Sunday,January,2019
72,WALM017,McKinney,Fashion accessories,$62.12,10,11-02-2019,16:19:00,Cash,5.9,0.48,Monday,February,2019
73,WALM096,Eagle Pass,Food and beverages,$48.52,3,05-03-2019,18:17:00,Ewallet,4,0.18,Tuesday,March,2019
74,WALM083,Farmers Branch,Electronic accessories,$75.91,6,09-03-2019,18:21:00,Cash,8.7,0.33,Saturday,March,2019
75,WALM072,Lancaster,Home and lifestyle,$74.67,9,22-01-2019,10:55:00,Ewallet,9.4,0.33,Tuesday,January,2019
76,WALM003,San Antonio,Electronic accessories,$41.65,10,13-01-2019,17:04:00,Credit card,5.4,0.48,Sunday,January,2019
77,WALM058,Port Arthur,Fashion accessories,$49.04,9,09-01-2019,14:20:00,Credit card,8.6,0.33,Wednesday,January,2019
78,WALM094,Alamo,Fashion accessories,$20.01,9,12-01-2019,15:48:00,Credit card,5.7,0.33,Saturday,January,2019
79,WALM063,Georgetown,Food and beverages,$78.31,10,05-03-2019,16:24:00,Ewallet,6.6,0.33,Tuesday,March,2019
80,WALM071,Lufkin,Health and beauty,$20.38,5,22-01-2019,18:56:00,Cash,6,0.33,Tuesday,January,2019
81,WALM061,Cedar Park,Health and beauty,$99.19,6,21-01-2019,14:42:00,Credit card,5.5,0.33,Monday,January,2019
82,WALM090,Brownwood,Food and beverages,$96.68,3,26-01-2019,19:56:00,Ewallet,6.4,0.33,Saturday,January,2019
83,WALM061,Cedar Park,Food and beverages,$19.25,8,23-01-2019,18:37:00,Ewallet,6.6,0.33,Wednesday,January,2019
84,WALM041,Mission,Food and beverages,$80.36,4,23-02-2019,18:45:00,Ewallet,8.3,0.48,Saturday,February,2019
85,WALM097,Alice,Sports and travel,$48.91,5,09-03-2019,10:17:00,Cash,6.6,0.18,Saturday,March,2019
86,WALM043,Baytown,Sports and travel,$83.06,7,05-03-2019,14:31:00,Ewallet,4,0.48,Tuesday,March,2019
87,WALM042,Bryan,Fashion accessories,$76.52,5,25-03-2019,10:23:00,Cash,9.9,0.48,Monday,March,2019
88,WALM046,Temple,Food and beverages,$49.38,7,27-03-2019,20:35:00,Credit card,7.3,0.48,Wednesday,March,2019
89,WALM011,Lubbock,Sports and travel,$42.47,1,02-01-2019,16:57:00,Cash,5.7,0.48,Wednesday,January,2019
90,WALM064,Bedford,Health and beauty,$76.99,6,27-02-2019,17:55:00,Cash,6.1,0.33,Wednesday,February,2019
91,WALM095,Big Spring,Home and lifestyle,$47.38,4,23-01-2019,10:25:00,Cash,7.1,0.33,Wednesday,January,2019
92,WALM049,North Richland Hills,Sports and travel,$44.86,10,26-01-2019,19:54:00,Ewallet,8.2,0.48,Saturday,January,2019
93,WALM040,Edinburg,Sports and travel,$21.98,7,10-01-2019,16:42:00,Ewallet,5.1,0.48,Thursday,January,2019
94,WALM065,Texas City,Health and beauty,$64.36,9,12-03-2019,12:09:00,Credit card,8.6,0.33,Tuesday,March,2019
95,WALM075,San Marcos,Health and beauty,$89.75,1,06-02-2019,20:05:00,Credit card,6.6,0.33,Wednesday,February,2019
96,WALM034,College Station,Electronic accessories,$97.16,1,08-03-2019,20:38:00,Ewallet,7.2,0.48,Friday,March,2019
97,WALM014,Amarillo,Health and beauty,$87.87,10,29-03-2019,10:25:00,Ewallet,5.1,0.48,Friday,March,2019
98,WALM096,Eagle Pass,Electronic accessories,$12.45,6,09-02-2019,13:11:00,Cash,4.1,0.18,Saturday,February,2019
99,WALM004,Austin,Food and beverages,$52.75,3,23-03-2019,10:16:00,Ewallet,9.3,0.48,Saturday,March,2019
100,WALM011,Lubbock,Home and lifestyle,$82.7,6,05-03-2019,18:14:00,Cash,7.4,0.48,Tuesday,March,2019
101,WALM075,San Marcos,Fashion accessories,$48.71,1,26-03-2019,19:20:00,Cash,4.1,0.33,Tuesday,March,2019
102,WALM057,Euless,Fashion accessories,$78.55,9,01-03-2019,13:22:00,Cash,7.2,0.33,Friday,March,2019
103,WALM023,Midland,Electronic accessories,$23.07,9,01-02-2019,11:27:00,Cash,4.9,0.48,Friday,February,2019
104,WALM012,Garland,Food and beverages,$58.26,6,28-03-2019,16:44:00,Cash,9.9,0.48,Thursday,March,2019
105,WALM078,Del Rio,Health and beauty,$30.35,7,19-03-2019,18:19:00,Cash,8,0.33,Tuesday,March,2019
106,WALM055,Waxahachie,Electronic accessories,$88.67,10,12-01-2019,14:50:00,Ewallet,7.3,0.33,Saturday,January,2019
107,WALM038,Sugar Land,Fashion accessories,$27.38,6,05-01-2019,20:54:00,Credit card,7.9,0.48,Saturday,January,2019
108,WALM049,North Richland Hills,Sports and travel,$62.13,6,22-03-2019,20:19:00,Cash,7.4,0.48,Friday,March,2019
109,WALM044,Pharr,Food and beverages,$33.98,9,24-03-2019,10:43:00,Cash,4.2,0.48,Sunday,March,2019
110,WALM056,Rowlett,Electronic accessories,$81.97,10,03-03-2019,14:30:00,Cash,9.2,0.33,Sunday,March,2019
111,WALM007,Arlington,Sports and travel,$16.49,2,05-02-2019,11:32:00,Ewallet,4.6,0.48,Tuesday,February,2019
112,WALM025,Waco,Health and beauty,$98.21,3,05-02-2019,10:41:00,Credit card,7.8,0.48,Tuesday,February,2019
113,WALM005,Fort Worth,Fashion accessories,$72.84,7,15-02-2019,12:44:00,Cash,8.4,0.48,Friday,February,2019
114,WALM024,Carrollton,Home and lifestyle,$58.07,9,19-01-2019,20:07:00,Ewallet,4.3,0.48,Saturday,January,2019
115,WALM003,San Antonio,Home and lifestyle,$80.79,9,01-02-2019,20:31:00,Credit card,9.5,0.36,Friday,February,2019
116,WALM087,Waxahachie,Fashion accessories,$27.02,3,02-03-2019,13:01:00,Credit card,7.1,0.33,Saturday,March,2019
117,WALM040,Edinburg,Fashion accessories,$21.94,5,05-03-2019,12:29:00,Ewallet,5.3,0.48,Tuesday,March,2019
118,WALM071,Lufkin,Fashion accessories,$51.36,1,16-01-2019,15:26:00,Ewallet,5.2,0.33,Wednesday,January,2019
119,WALM027,Abilene,Food and beverages,$10.96,10,02-02-2019,20:48:00,Ewallet,6,0.48,Saturday,February,2019
120,WALM071,Lufkin,Home and lifestyle,$53.44,2,20-01-2019,20:38:00,Ewallet,4.1,0.33,Sunday,January,2019
121,WALM014,Amarillo,Electronic accessories,$99.56,8,14-02-2019,17:03:00,Credit card,5.2,0.48,Thursday,February,2019
122,WALM069,Rockwall,Sports and travel,$57.12,7,12-01-2019,12:02:00,Credit card,6.5,0.33,Saturday,January,2019
123,WALM085,Kerrville,Sports and travel,$99.96,9,09-03-2019,17:26:00,Credit card,4.2,0.33,Saturday,March,2019
124,WALM061,Cedar Park,Home and lifestyle,$63.91,8,13-03-2019,19:52:00,Credit card,4.6,0.33,Wednesday,March,2019
125,WALM088,Cleburne,Fashion accessories,$56.47,8,09-03-2019,14:57:00,Ewallet,7.3,0.33,Saturday,March,2019
126,WALM034,College Station,Home and lifestyle,$93.69,7,10-03-2019,18:44:00,Credit card,4.5,0.48,Sunday,March,2019
127,WALM016,Brownsville,Sports and travel,$32.25,5,27-01-2019,13:26:00,Cash,9,0.48,Sunday,January,2019
128,WALM044,Pharr,Fashion accessories,$31.73,9,08-01-2019,16:17:00,Credit card,5.9,0.48,Tuesday,January,2019
